Unnamed :0,src_ip,src_port,session,protocol,sensor,country,city,ISP,region,date,time,hours,month,dest_port
0,198.199.98.246,45545,79e17536ddfb,ssh,kali-rpi,US,San Francisco,"AS14061 DigitalOcean, LLC",California,16-02-2022,14:02:29,14,2,21
2,162.142.125.8,35692,ed01dffd0b39,ssh,kali-rpi,US,Chicago,"AS398324 Censys, Inc.",Illinois,16-02-2022,15:32:28,15,2,8080
4,162.142.125.8,51556,a81c25206a3e,ssh,kali-rpi,US,Chicago,"AS398324 Censys, Inc.",Illinois,16-02-2022,15:32:28,15,2,8080
8,198.199.98.246,51823,aa5895939ac6,ssh,kali-rpi,US,San Francisco,"AS14061 DigitalOcean, LLC",California,16-02-2022,18:44:58,18,2,22
10,104.206.128.70,58079,3ca6bf40dd5b,ssh,kali-rpi,US,Seattle,AS62904 Eonix Corporation,Washington,16-02-2022,18:48:34,18,2,80
0,94.232.42.204,63874,8bec50e6efdd,ssh,kali-rpi,DE,Willich,AS44477 IP Oleinichenko Denis,North Rhine-Westphalia,17-02-2022,04:24:31,4,2,22
3,198.199.98.246,58855,7957f24fa5a8,ssh,kali-rpi,US,San Francisco,"AS14061 DigitalOcean, LLC",California,17-02-2022,19:36:33,19,2,22
5,198.199.98.246,58985,fc76ff86c6ae,ssh,kali-rpi,US,San Francisco,"AS14061 DigitalOcean, LLC",California,17-02-2022,19:37:15,19,2,21
7,198.199.98.246,59073,7b0dd25e9451,ssh,kali-rpi,US,San Francisco,"AS14061 DigitalOcean, LLC",California,17-02-2022,19:37:42,19,2,21
9,167.94.146.60,57654,91418a0e22c1,ssh,kali-rpi,DE,Frankfurt am Main,"AS398705 Censys, Inc.",Hesse,17-02-2022,21:13:35,21,2,8080
11,167.94.146.60,47454,02fee1a974a2,ssh,kali-rpi,DE,Frankfurt am Main,"AS398705 Censys, Inc.",Hesse,17-02-2022,21:13:36,21,2,22
15,164.92.194.44,51850,9390dd104747,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:37:47,22,2,443
17,164.92.194.44,52540,aa085869d9d8,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:29,22,2,443
20,164.92.194.44,59484,67d2df182844,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:30,22,2,8080
24,164.92.194.44,37620,ad150fce4b6e,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:31,22,2,443
29,164.92.194.44,44516,da7a9025eaae,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:32,22,2,8080
34,164.92.194.44,51308,bed3d02f6c69,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:34,22,2,80
39,164.92.194.44,57892,35f6044cd662,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:35,22,2,443
44,164.92.194.44,36346,d07d0cc36149,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:36,22,2,443
49,164.92.194.44,43100,8daa3ec684d5,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:37,22,2,21
54,164.92.194.44,49828,4a2030f8edbf,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,17-02-2022,22:38:38,22,2,21
0,193.56.146.63,62287,4cf5ae852e2d,ssh,kali-rpi,NL,Middelharnis,AS207566 HOSTWAY LLC,South Holland,18-02-2022,04:42:29,4,2,22
3,164.92.194.44,56558,c8e4a5b40e2d,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:05:59,13,2,443
5,164.92.194.44,52352,8e382a156cd9,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:24,13,2,80
8,164.92.194.44,58514,632c475f626a,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:26,13,2,22
12,164.92.194.44,36586,7888b08053cb,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:27,13,2,8080
17,164.92.194.44,42874,273459b1b647,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:28,13,2,21
22,164.92.194.44,49108,1edf8f95ccde,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:29,13,2,22
27,164.92.194.44,55550,04d2538e8121,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:30,13,2,8080
32,164.92.194.44,33384,e3abb8377cc4,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:31,13,2,443
37,164.92.194.44,39678,dadd580c398f,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:33,13,2,8080
42,164.92.194.44,45960,7abe246b35a2,ssh,kali-rpi,DE,Frankfurt am Main,"AS14061 DigitalOcean, LLC",Hesse,18-02-2022,13:06:34,13,2,8080
49,193.56.146.63,60510,73c2a8bdbb66,ssh,kali-rpi,NL,Middelharnis,AS207566 HOSTWAY LLC,South Holland,18-02-2022,15:34:40,15,2,8080
